,Pclass,Fancy,Male,Age,Fare,Known,E_C,E_Q,E_S,Survived
0,3,0,1,22.0,7.25,0,0,0,1,0
1,1,0,0,38.0,71.2833,1,1,0,0,1
2,3,0,0,26.0,7.925,0,0,0,1,1
3,1,0,0,35.0,53.1,1,0,0,1,1
4,3,0,1,35.0,8.05,0,0,0,1,0
5,3,0,1,30.0,8.4583,0,0,1,0,0
6,1,0,1,54.0,51.8625,1,0,0,1,0
7,3,1,1,2.0,21.075,0,0,0,1,0
8,3,0,0,27.0,11.1333,0,0,0,1,1
9,2,0,0,14.0,30.0708,0,1,0,0,1
10,3,0,0,4.0,16.7,1,0,0,1,1
11,1,0,0,58.0,26.55,1,0,0,1,1
12,3,0,1,20.0,8.05,0,0,0,1,0
13,3,0,1,39.0,31.275,0,0,0,1,0
14,3,0,0,14.0,7.8542,0,0,0,1,0
15,2,0,0,55.0,16.0,0,0,0,1,1
16,3,1,1,2.0,29.125,0,0,1,0,0
17,2,0,1,30.0,13.0,0,0,0,1,1
18,3,0,0,31.0,18.0,0,0,0,1,0
19,3,0,0,30.0,7.225,0,1,0,0,1
20,2,0,1,35.0,26.0,0,0,0,1,0
21,2,0,1,34.0,13.0,1,0,0,1,1
22,3,0,0,15.0,8.0292,0,0,1,0,1
23,1,0,1,28.0,35.5,1,0,0,1,1
24,3,0,0,8.0,21.075,0,0,0,1,0
25,3,0,0,38.0,31.3875,0,0,0,1,1
26,3,0,1,30.0,7.225,0,1,0,0,0
27,1,0,1,19.0,263.0,1,0,0,1,0
28,3,0,0,30.0,7.8792,0,0,1,0,1
29,3,0,1,30.0,7.8958,0,0,0,1,0
30,1,1,1,40.0,27.7208,0,1,0,0,0
31,1,0,0,30.0,146.5208,1,1,0,0,1
32,3,0,0,30.0,7.75,0,0,1,0,1
33,2,0,1,66.0,10.5,0,0,0,1,0
34,1,0,1,28.0,82.1708,0,1,0,0,0
35,1,0,1,42.0,52.0,0,0,0,1,0
36,3,0,1,30.0,7.2292,0,1,0,0,1
37,3,0,1,21.0,8.05,0,0,0,1,0
38,3,0,0,18.0,18.0,0,0,0,1,0
39,3,0,0,14.0,11.2417,0,1,0,0,1
40,3,0,0,40.0,9.475,0,0,0,1,0
41,2,0,0,27.0,21.0,0,0,0,1,0
42,3,0,1,30.0,7.8958,0,1,0,0,0
43,2,0,0,3.0,41.5792,0,1,0,0,1
44,3,0,0,19.0,7.8792,0,0,1,0,1
45,3,0,1,30.0,8.05,0,0,0,1,0
46,3,0,1,30.0,15.5,0,0,1,0,0
47,3,0,0,30.0,7.75,0,0,1,0,1
48,3,0,1,30.0,21.6792,0,1,0,0,0
49,3,0,0,18.0,17.8,0,0,0,1,0
50,3,1,1,7.0,39.6875,0,0,0,1,0
51,3,0,1,21.0,7.8,0,0,0,1,0
52,1,0,0,49.0,76.7292,1,1,0,0,1
53,2,0,0,29.0,26.0,0,0,0,1,1
54,1,0,1,65.0,61.9792,1,1,0,0,0
55,1,0,1,30.0,35.5,1,0,0,1,1
56,2,0,0,21.0,10.5,0,0,0,1,1
57,3,0,1,28.5,7.2292,0,1,0,0,0
58,2,0,0,5.0,27.75,0,0,0,1,1
59,3,1,1,11.0,46.9,0,0,0,1,0
60,3,0,1,22.0,7.2292,0,1,0,0,0
61,1,0,1,45.0,83.475,1,0,0,1,0
62,3,1,1,4.0,27.9,0,0,0,1,0
63,1,0,1,30.0,27.7208,0,1,0,0,0
64,3,1,1,30.0,15.2458,0,1,0,0,1
65,2,0,0,29.0,10.5,1,0,0,1,1
66,3,0,1,19.0,8.1583,0,0,0,1,0
67,3,0,0,17.0,7.925,0,0,0,1,1
68,3,0,1,26.0,8.6625,0,0,0,1,0
69,2,0,1,32.0,10.5,0,0,0,1,0
70,3,0,0,16.0,46.9,0,0,0,1,0
71,2,0,1,21.0,73.5,0,0,0,1,0
72,3,0,1,26.0,14.4542,0,1,0,0,0
73,3,0,1,32.0,56.4958,0,0,0,1,1
74,3,0,1,25.0,7.65,1,0,0,1,0
75,3,0,1,30.0,7.8958,0,0,0,1,0
76,3,0,1,30.0,8.05,0,0,0,1,0
77,2,1,1,0.83,29.0,0,0,0,1,1
78,3,0,0,30.0,12.475,0,0,0,1,1
79,3,0,1,22.0,9.0,0,0,0,1,0
80,3,0,1,29.0,9.5,0,0,0,1,1
81,3,0,0,30.0,7.7875,0,0,1,0,1
82,1,0,1,28.0,47.1,0,0,0,1,0
83,2,0,0,17.0,10.5,0,0,0,1,1
84,3,0,0,33.0,15.85,0,0,0,1,1
85,3,0,1,16.0,34.375,0,0,0,1,0
86,3,0,1,30.0,8.05,0,0,0,1,0
87,1,0,0,23.0,263.0,1,0,0,1,1
88,3,0,1,24.0,8.05,0,0,0,1,0
89,3,0,1,29.0,8.05,0,0,0,1,0
90,3,0,1,20.0,7.8542,0,0,0,1,0
91,1,0,1,46.0,61.175,1,0,0,1,0
92,3,0,1,26.0,20.575,0,0,0,1,0
93,3,0,1,59.0,7.25,0,0,0,1,0
94,3,0,1,30.0,8.05,0,0,0,1,0
95,1,0,1,71.0,34.6542,1,1,0,0,0
96,1,0,1,23.0,63.3583,1,1,0,0,1
97,2,0,0,34.0,23.0,0,0,0,1,1
98,2,0,1,34.0,26.0,0,0,0,1,0
99,3,0,0,28.0,7.8958,0,0,0,1,0
100,3,0,1,30.0,7.8958,0,0,0,1,0
101,1,0,1,21.0,77.2875,1,0,0,1,0
102,3,0,1,33.0,8.6542,0,0,0,1,0
103,3,0,1,37.0,7.925,0,0,0,1,0
104,3,0,1,28.0,7.8958,0,0,0,1,0
105,3,0,0,21.0,7.65,0,0,0,1,1
106,3,0,1,30.0,7.775,0,0,0,1,1
107,3,0,1,38.0,7.8958,0,0,0,1,0
108,3,0,0,30.0,24.15,0,0,1,0,1
109,1,0,1,47.0,52.0,1,0,0,1,0
110,3,0,0,14.5,14.4542,0,1,0,0,0
111,3,0,1,22.0,8.05,0,0,0,1,0
112,3,0,0,20.0,9.825,0,0,0,1,0
113,3,0,0,17.0,14.4583,0,1,0,0,0
114,3,0,1,21.0,7.925,0,0,0,1,0
115,3,0,1,70.5,7.75,0,0,1,0,0
116,2,0,1,29.0,21.0,0,0,0,1,0
117,1,0,1,24.0,247.5208,1,1,0,0,0
118,3,0,0,2.0,31.275,0,0,0,1,0
119,2,0,1,21.0,73.5,0,0,0,1,0
120,3,0,1,30.0,8.05,0,0,0,1,0
121,2,0,1,32.5,30.0708,0,1,0,0,0
122,2,0,0,32.5,13.0,1,0,0,1,1
123,1,0,1,54.0,77.2875,1,0,0,1,0
124,3,1,1,12.0,11.2417,0,1,0,0,1
125,3,0,1,30.0,7.75,0,0,1,0,0
126,3,0,1,24.0,7.1417,0,0,0,1,1
127,3,0,0,30.0,22.3583,1,1,0,0,1
128,3,0,1,45.0,6.975,0,0,0,1,0
129,3,0,1,33.0,7.8958,0,1,0,0,0
130,3,0,1,20.0,7.05,0,0,0,1,0
131,3,0,0,47.0,14.5,0,0,0,1,0
132,2,0,0,29.0,26.0,0,0,0,1,1
133,2,0,1,25.0,13.0,0,0,0,1,0
134,2,0,1,23.0,15.0458,0,1,0,0,0
135,1,0,0,19.0,26.2833,1,0,0,1,1
136,1,0,1,37.0,53.1,1,0,0,1,0
137,3,0,1,16.0,9.2167,0,0,0,1,0
138,1,0,1,24.0,79.2,1,1,0,0,0
139,3,0,0,30.0,15.2458,0,1,0,0,0
140,3,0,0,22.0,7.75,0,0,0,1,1
141,3,0,0,24.0,15.85,0,0,0,1,1
142,3,0,1,19.0,6.75,0,0,1,0,0
143,2,0,1,18.0,11.5,0,0,0,1,0
144,2,0,1,19.0,36.75,0,0,0,1,0
145,3,0,1,27.0,7.7958,0,0,0,1,1
146,3,0,0,9.0,34.375,0,0,0,1,0
147,2,0,1,36.5,26.0,1,0,0,1,0
148,2,1,1,42.0,13.0,0,0,0,1,0
149,2,1,1,51.0,12.525,0,0,0,1,0
150,1,0,0,22.0,66.6,1,0,0,1,1
151,3,0,1,55.5,8.05,0,0,0,1,0
152,3,0,1,40.5,14.5,0,0,0,1,0
153,3,0,1,30.0,7.3125,0,0,0,1,0
154,1,0,1,51.0,61.3792,0,1,0,0,0
155,3,0,0,16.0,7.7333,0,0,1,0,1
156,3,0,1,30.0,8.05,0,0,0,1,0
157,3,0,1,30.0,8.6625,0,0,0,1,0
158,3,1,1,30.0,69.55,0,0,0,1,0
159,3,0,1,44.0,16.1,0,0,0,1,0
160,2,0,0,40.0,15.75,0,0,0,1,1
161,3,0,1,26.0,7.775,0,0,0,1,0
162,3,0,1,17.0,8.6625,0,0,0,1,0
163,3,1,1,1.0,39.6875,0,0,0,1,0
164,3,1,1,9.0,20.525,0,0,0,1,1
165,1,0,0,30.0,55.0,1,0,0,1,1
166,3,0,0,45.0,27.9,0,0,0,1,0
167,1,0,1,30.0,25.925,0,0,0,1,0
168,3,0,1,28.0,56.4958,0,0,0,1,0
169,1,0,1,61.0,33.5,1,0,0,1,0
170,3,1,1,4.0,29.125,0,0,1,0,0
171,3,0,0,1.0,11.1333,0,0,0,1,1
172,3,0,1,21.0,7.925,0,0,0,1,0
173,1,0,1,56.0,30.6958,1,1,0,0,0
174,3,0,1,18.0,7.8542,0,0,0,1,0
175,3,1,1,30.0,25.4667,0,0,0,1,0
176,1,0,0,50.0,28.7125,1,1,0,0,0
177,2,0,1,30.0,13.0,0,0,0,1,0
178,3,0,1,36.0,0.0,0,0,0,1,0
179,3,0,0,30.0,69.55,0,0,0,1,0
180,2,0,1,30.0,15.05,0,1,0,0,0
181,3,1,1,9.0,31.3875,0,0,0,1,0
182,2,1,1,1.0,39.0,1,0,0,1,1
183,3,0,0,4.0,22.025,0,0,0,1,1
184,1,0,1,30.0,50.0,1,0,0,1,0
185,3,0,0,30.0,15.5,0,0,1,0,1
186,1,0,1,45.0,26.55,0,0,0,1,1
187,3,0,1,40.0,15.5,0,0,1,0,0
188,3,0,1,36.0,7.8958,0,0,0,1,0
189,2,0,0,32.0,13.0,0,0,0,1,1
190,2,0,1,19.0,13.0,0,0,0,1,0
191,3,0,0,19.0,7.8542,0,0,0,1,1
192,2,1,1,3.0,26.0,1,0,0,1,1
193,1,0,0,44.0,27.7208,1,1,0,0,1
194,1,0,0,58.0,146.5208,1,1,0,0,1
195,3,0,1,30.0,7.75,0,0,1,0,0
196,3,0,1,42.0,8.4042,0,0,0,1,0
197,3,0,0,30.0,7.75,0,0,1,0,1
198,2,0,0,24.0,13.0,0,0,0,1,0
199,3,0,1,28.0,9.5,0,0,0,1,0
200,3,0,1,30.0,69.55,0,0,0,1,0
201,3,0,1,34.0,6.4958,0,0,0,1,0
202,3,0,1,45.5,7.225,0,1,0,0,0
203,3,0,1,18.0,8.05,0,0,0,1,1
204,3,0,0,2.0,10.4625,1,0,0,1,0
205,3,0,1,32.0,15.85,0,0,0,1,0
206,3,0,1,26.0,18.7875,0,1,0,0,1
207,3,0,0,16.0,7.75,0,0,1,0,1
208,1,0,1,40.0,31.0,1,1,0,0,1
209,3,0,1,24.0,7.05,0,0,0,1,0
210,2,0,0,35.0,21.0,0,0,0,1,1
211,3,0,1,22.0,7.25,0,0,0,1,0
212,2,0,1,30.0,13.0,0,0,0,1,0
213,3,0,1,30.0,7.75,0,0,1,0,0
214,1,0,0,31.0,113.275,1,1,0,0,1
215,3,0,0,27.0,7.925,0,0,0,1,1
216,2,0,1,42.0,27.0,0,0,0,1,0
217,1,0,0,32.0,76.2917,1,1,0,0,1
218,2,0,1,30.0,10.5,0,0,0,1,0
219,3,0,1,16.0,8.05,0,0,0,1,1
220,2,0,1,27.0,13.0,0,0,0,1,0
221,3,0,1,51.0,8.05,0,0,0,1,0
222,3,0,1,30.0,7.8958,0,0,0,1,0
223,1,0,1,38.0,90.0,1,0,0,1,1
224,3,0,1,22.0,9.35,0,0,0,1,0
225,2,0,1,19.0,10.5,0,0,0,1,1
226,3,0,1,20.5,7.25,0,0,0,1,0
227,2,0,1,18.0,13.0,0,0,0,1,0
228,3,0,0,30.0,25.4667,0,0,0,1,0
229,1,0,0,35.0,83.475,1,0,0,1,1
230,3,0,1,29.0,7.775,0,0,0,1,0
231,2,0,1,59.0,13.5,0,0,0,1,0
232,3,0,0,5.0,31.3875,0,0,0,1,1
233,2,0,1,24.0,10.5,0,0,0,1,0
234,3,0,0,30.0,7.55,0,0,0,1,0
235,2,0,1,44.0,26.0,0,0,0,1,0
236,2,0,0,8.0,26.25,0,0,0,1,1
237,2,0,1,19.0,10.5,0,0,0,1,0
238,2,0,1,33.0,12.275,0,0,0,1,0
239,3,0,0,30.0,14.4542,0,1,0,0,0
240,3,0,0,30.0,15.5,0,0,1,0,1
241,2,0,1,29.0,10.5,0,0,0,1,0
242,3,0,1,22.0,7.125,0,0,0,1,0
243,3,0,1,30.0,7.225,0,1,0,0,0
244,1,1,1,44.0,90.0,1,0,1,0,0
245,3,0,0,25.0,7.775,0,0,0,1,0
246,2,0,0,24.0,14.5,0,0,0,1,1
247,1,0,1,37.0,52.5542,1,0,0,1,1
248,2,1,1,54.0,26.0,0,0,0,1,0
249,3,0,1,30.0,7.25,0,0,0,1,0
250,3,0,0,29.0,10.4625,1,0,0,1,0
251,1,0,1,62.0,26.55,1,0,0,1,0
252,3,0,1,30.0,16.1,0,0,0,1,0
253,3,0,0,41.0,20.2125,0,0,0,1,0
254,3,0,0,29.0,15.2458,0,1,0,0,1
255,1,0,0,30.0,79.2,0,1,0,0,1
256,1,0,0,30.0,86.5,1,0,0,1,1
257,1,0,0,35.0,512.3292,0,1,0,0,1
258,2,0,0,50.0,26.0,0,0,0,1,1
259,3,0,1,30.0,7.75,0,0,1,0,0
260,3,1,1,3.0,31.3875,0,0,0,1,1
261,1,0,1,52.0,79.65,1,0,0,1,0
262,1,0,1,40.0,0.0,1,0,0,1,0
263,3,0,0,30.0,7.75,0,0,1,0,0
264,2,0,1,36.0,10.5,0,0,0,1,0
265,3,0,1,16.0,39.6875,0,0,0,1,0
266,3,0,1,25.0,7.775,0,0,0,1,1
267,1,0,0,58.0,153.4625,1,0,0,1,1
268,1,0,0,35.0,135.6333,1,0,0,1,1
269,1,0,1,30.0,31.0,0,0,0,1,0
270,3,0,1,25.0,0.0,0,0,0,1,1
271,2,0,0,41.0,19.5,0,0,0,1,1
272,1,0,1,37.0,29.7,1,1,0,0,0
273,3,0,0,30.0,7.75,0,0,1,0,1
274,1,0,0,63.0,77.9583,1,0,0,1,1
275,3,0,0,45.0,7.75,0,0,0,1,0
276,2,0,1,30.0,0.0,0,0,0,1,0
277,3,1,1,7.0,29.125,0,0,1,0,0
278,3,0,0,35.0,20.25,0,0,0,1,1
279,3,0,1,65.0,7.75,0,0,1,0,0
280,3,0,1,28.0,7.8542,0,0,0,1,0
281,3,0,1,16.0,9.5,0,0,0,1,0
282,3,0,1,19.0,8.05,0,0,0,1,1
283,1,0,1,30.0,26.0,1,0,0,1,0
284,3,0,1,33.0,8.6625,0,1,0,0,0
285,3,0,1,30.0,9.5,0,0,0,1,1
286,3,0,1,22.0,7.8958,0,0,0,1,0
287,2,0,1,42.0,13.0,0,0,0,1,1
288,3,0,0,22.0,7.75,0,0,1,0,1
289,1,0,0,26.0,78.85,0,0,0,1,1
290,1,0,0,19.0,91.0792,1,1,0,0,1
291,2,0,1,36.0,12.875,1,1,0,0,0
292,3,0,0,24.0,8.85,0,0,0,1,0
293,3,0,1,24.0,7.8958,0,0,0,1,0
294,1,0,1,30.0,27.7208,0,1,0,0,0
295,3,0,1,23.5,7.2292,0,1,0,0,0
296,1,0,0,2.0,151.55,1,0,0,1,0
297,1,0,1,30.0,30.5,1,0,0,1,1
298,1,0,0,50.0,247.5208,1,1,0,0,1
299,3,0,0,30.0,7.75,0,0,1,0,1
300,3,0,1,30.0,23.25,0,0,1,0,1
301,3,0,1,19.0,0.0,0,0,0,1,0
302,2,0,0,30.0,12.35,1,0,1,0,1
303,3,0,1,30.0,8.05,0,0,0,1,0
304,1,1,1,0.92,151.55,1,0,0,1,1
305,1,0,0,30.0,110.8833,0,1,0,0,1
306,1,0,0,17.0,108.9,1,1,0,0,1
307,2,0,1,30.0,24.0,0,1,0,0,0
308,1,0,0,30.0,56.9292,1,1,0,0,1
309,1,0,0,24.0,83.1583,1,1,0,0,1
310,1,0,0,18.0,262.375,1,1,0,0,1
311,2,0,0,26.0,26.0,0,0,0,1,0
312,3,0,1,28.0,7.8958,0,0,0,1,0
313,2,0,1,43.0,26.25,0,0,0,1,0
314,3,0,0,26.0,7.8542,0,0,0,1,1
315,2,0,0,24.0,26.0,0,0,0,1,1
316,2,1,1,54.0,14.0,0,0,0,1,0
317,1,0,0,31.0,164.8667,1,0,0,1,1
318,1,0,0,40.0,134.5,1,1,0,0,1
319,3,0,1,22.0,7.25,0,0,0,1,0
320,3,0,1,27.0,7.8958,0,0,0,1,0
321,2,0,0,30.0,12.35,0,0,1,0,1
322,2,0,0,22.0,29.0,0,0,0,1,1
323,3,0,1,30.0,69.55,0,0,0,1,0
324,1,0,0,36.0,135.6333,1,1,0,0,1
325,3,0,1,61.0,6.2375,0,0,0,1,0
326,2,0,0,36.0,13.0,1,0,0,1,1
327,3,0,0,31.0,20.525,0,0,0,1,1
328,1,0,0,16.0,57.9792,1,1,0,0,1
329,3,0,0,30.0,23.25,0,0,1,0,1
330,1,0,1,45.5,28.5,1,0,0,1,0
331,1,0,1,38.0,153.4625,1,0,0,1,0
332,3,0,1,16.0,18.0,0,0,0,1,0
333,1,0,0,30.0,133.65,0,0,0,1,1
334,3,0,1,30.0,7.8958,0,0,0,1,0
335,1,0,1,29.0,66.6,1,0,0,1,0
336,1,0,0,41.0,134.5,1,1,0,0,1
337,3,0,1,45.0,8.05,0,0,0,1,1
338,1,0,1,45.0,35.5,1,0,0,1,0
339,2,1,1,2.0,26.0,1,0,0,1,1
340,1,0,0,24.0,263.0,1,0,0,1,1
341,2,0,1,28.0,13.0,0,0,0,1,0
342,2,0,1,25.0,13.0,0,0,0,1,0
343,2,0,1,36.0,13.0,0,0,0,1,0
344,2,0,0,24.0,13.0,1,0,0,1,1
345,2,0,0,40.0,13.0,0,0,0,1,1
346,3,0,0,30.0,16.1,0,0,0,1,1
347,3,1,1,3.0,15.9,0,0,0,1,1
348,3,0,1,42.0,8.6625,0,0,0,1,0
349,3,0,1,23.0,9.225,0,0,0,1,0
350,1,0,1,30.0,35.0,1,0,0,1,0
351,3,0,1,15.0,7.2292,0,1,0,0,0
352,3,0,1,25.0,17.8,0,0,0,1,0
353,3,0,1,30.0,7.225,0,1,0,0,0
354,3,0,1,28.0,9.5,0,0,0,1,0
355,1,0,0,22.0,55.0,1,0,0,1,1
356,2,0,0,38.0,13.0,0,0,0,1,0
357,3,0,0,30.0,7.8792,0,0,1,0,1
358,3,0,0,30.0,7.8792,0,0,1,0,1
359,3,0,1,40.0,27.9,0,0,0,1,0
360,2,0,1,29.0,27.7208,0,1,0,0,0
361,3,0,0,45.0,14.4542,0,1,0,0,0
362,3,0,1,35.0,7.05,0,0,0,1,0
363,3,0,1,30.0,15.5,0,0,1,0,0
364,3,0,1,30.0,7.25,0,0,0,1,0
365,1,0,0,60.0,75.25,1,1,0,0,1
366,3,0,0,30.0,7.2292,0,1,0,0,1
367,3,0,0,30.0,7.75,0,0,1,0,1
368,1,1,0,24.0,69.3,1,1,0,0,1
369,1,0,1,25.0,55.4417,1,1,0,0,1
370,3,0,1,18.0,6.4958,0,0,0,1,0
371,3,0,1,19.0,8.05,0,0,0,1,0
372,1,0,1,22.0,135.6333,0,1,0,0,0
373,3,0,0,3.0,21.075,0,0,0,1,0
374,1,0,0,30.0,82.1708,0,1,0,0,1
375,3,0,0,22.0,7.25,0,0,0,1,1
376,1,0,1,27.0,211.5,1,1,0,0,0
377,3,0,1,20.0,4.0125,0,1,0,0,0
378,3,0,1,19.0,7.775,0,0,0,1,0
379,1,0,0,42.0,227.525,0,1,0,0,1
380,3,0,0,1.0,15.7417,0,1,0,0,1
381,3,0,1,32.0,7.925,0,0,0,1,0
382,1,0,0,35.0,52.0,0,0,0,1,1
383,3,0,1,30.0,7.8958,0,0,0,1,0
384,2,0,1,18.0,73.5,0,0,0,1,0
385,3,1,1,1.0,46.9,0,0,0,1,0
386,2,0,0,36.0,13.0,0,0,0,1,1
387,3,0,1,30.0,7.7292,0,0,1,0,0
388,2,0,0,17.0,12.0,0,1,0,0,1
389,1,0,1,36.0,120.0,1,0,0,1,1
390,3,0,1,21.0,7.7958,0,0,0,1,1
391,3,0,1,28.0,7.925,0,0,0,1,0
392,1,0,0,23.0,113.275,1,1,0,0,1
393,3,0,0,24.0,16.7,1,0,0,1,1
394,3,0,1,22.0,7.7958,0,0,0,1,0
395,3,0,0,31.0,7.8542,0,0,0,1,0
396,2,0,1,46.0,26.0,0,0,0,1,0
397,2,1,1,23.0,10.5,0,0,0,1,0
398,2,0,0,28.0,12.65,0,0,0,1,1
399,3,0,1,39.0,7.925,0,0,0,1,1
400,3,0,1,26.0,8.05,0,0,0,1,0
401,3,0,0,21.0,9.825,0,0,0,1,0
402,3,0,1,28.0,15.85,0,0,0,1,0
403,3,0,0,20.0,8.6625,0,0,0,1,0
404,2,0,1,34.0,21.0,0,0,0,1,0
405,3,0,1,51.0,7.75,0,0,0,1,0
406,2,1,1,3.0,18.75,0,0,0,1,1
407,3,0,1,21.0,7.775,0,0,0,1,0
408,3,0,0,30.0,25.4667,0,0,0,1,0
409,3,0,1,30.0,7.8958,0,0,0,1,0
410,3,0,1,30.0,6.8583,0,0,1,0,0
411,1,0,0,33.0,90.0,1,0,1,0,1
412,2,0,1,30.0,0.0,0,0,0,1,0
413,3,0,1,44.0,7.925,0,0,0,1,1
414,3,0,0,30.0,8.05,0,0,0,1,0
415,2,0,0,34.0,32.5,0,0,0,1,1
416,2,0,0,18.0,13.0,0,0,0,1,1
417,2,0,1,30.0,13.0,0,0,0,1,0
418,3,0,0,10.0,24.15,0,0,0,1,0
419,3,0,1,30.0,7.8958,0,1,0,0,0
420,3,0,1,21.0,7.7333,0,0,1,0,0
421,3,0,1,29.0,7.875,0,0,0,1,0
422,3,0,0,28.0,14.4,0,0,0,1,0
423,3,0,1,18.0,20.2125,0,0,0,1,0
424,3,0,1,30.0,7.25,0,0,0,1,0
425,2,0,0,28.0,26.0,0,0,0,1,1
426,2,0,0,19.0,26.0,0,0,0,1,1
427,3,0,1,30.0,7.75,0,0,1,0,0
428,3,0,1,32.0,8.05,1,0,0,1,1
429,1,0,1,28.0,26.55,1,0,0,1,1
430,3,0,0,30.0,16.1,0,0,0,1,1
431,2,0,0,42.0,26.0,0,0,0,1,1
432,3,0,1,17.0,7.125,0,0,0,1,0
433,1,0,1,50.0,55.9,1,0,0,1,0
434,1,0,0,14.0,120.0,1,0,0,1,1
435,3,0,0,21.0,34.375,0,0,0,1,0
436,2,0,0,24.0,18.75,0,0,0,1,1
437,1,0,1,64.0,263.0,1,0,0,1,0
438,2,0,1,31.0,10.5,0,0,0,1,0
439,2,0,0,45.0,26.25,0,0,0,1,1
440,3,0,1,20.0,9.5,0,0,0,1,0
441,3,0,1,25.0,7.775,0,0,0,1,0
442,2,1,0,28.0,13.0,0,0,0,1,1
443,3,0,1,30.0,8.1125,0,0,0,1,1
444,1,1,1,4.0,81.8583,1,0,0,1,1
